Producten uitgebracht,Begindatum levenscyclus,Einddatum van de basisondersteuning,Einddatum uitgebreide ondersteuning,Einddatum ondersteuning voor servicepacks,Opmerkingen
"Microsoft Business Solutions Great Plains 7.0, SQL Server",1-7-2002,31-3-2005,Niet van toepassing,,
Microsoft SQL Server 2000 64-bit Edition,30-11-2000,Niet van toepassing,Niet van toepassing,11-7-2002,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Desktop Engine,30-11-2000,8-4-2008,9-4-2013,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Desktop Engine Release A,29-1-2003,8-4-2008,9-4-2013,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Developer Edition,30-11-2000,Niet van toepassing,Niet van toepassing,11-7-2002,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Enterprise Edition,30-11-2000,Niet van toepassing,Niet van toepassing,11-7-2002,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Reporting Services Service Pack 1,22-9-2004,Niet van toepassing,Niet van toepassing,11-7-2006,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Reporting Services Service Pack 2,22-4-2005,30-6-2009,30-6-2014,,"Ondersteuning eindigt 12 maanden na de uitgifte van het volgende servicepack of, als deze datum eerder wordt bereikt, aan het eind van de levensduur voor het product. Raadpleeg het <a href=""https://support.microsoft.com/help/17138"">Servicepackbeleid</a> voor meer informatie."
Microsoft SQL Server 2000 Service Pack 1,12-6-2001,Niet van toepassing,Niet van toepassing,28-2-2002,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Service Pack 2,30-11-2001,Niet van toepassing,Niet van toepassing,7-4-2003,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Service Pack 3a,7-1-2003,Niet van toepassing,Niet van toepassing,10-7-2007,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Service Pack 4,6-5-2005,8-4-2008,9-4-2013,,"Ondersteuning eindigt 12 maanden na de uitgifte van het volgende servicepack of, als deze datum eerder wordt bereikt, aan het eind van de levensduur voor het product. Raadpleeg het <a href=""https://support.microsoft.com/help/17138"">Servicepackbeleid</a> voor meer informatie."
Microsoft SQL Server 2000 Standard Edition,30-11-2000,Niet van toepassing,Niet van toepassing,11-7-2002,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Standard Edition Service Pack 0,30-11-2000,Niet van toepassing,Niet van toepassing,,
Microsoft SQL Server 2000 Windows CE Edition 2.0,16-12-2002,8-1-2008,8-1-2013,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2000 Workgroup Edition,1-6-2005,8-4-2008,9-4-2013,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2005 Compact Edition,19-2-2007,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Developer Edition,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Enterprise Edition,14-1-2006,12-4-2011,12-4-2016,,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Enterprise Edition for Itanium Based Systems,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Enterprise X64 Edition,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Express Edition,1-6-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Express Edition with Advanced Services,16-7-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 for Embedded Systems,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Service Pack 1,18-4-2006,Niet van toepassing,Niet van toepassing,8-4-2008,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2005 Service Pack 2,19-2-2007,Niet van toepassing,Niet van toepassing,12-1-2010,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2005 Service Pack 3,15-12-2008,Niet van toepassing,Niet van toepassing,10-1-2012,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2005 Service Pack 4,13-12-2010,12-4-2011,12-4-2016,,"Ondersteuning eindigt 12 maanden na de uitgifte van het volgende servicepack of, als deze datum eerder wordt bereikt, aan het eind van de levensduur voor het product. Raadpleeg het <a href=""https://support.microsoft.com/help/17138"">Servicepackbeleid</a> voor meer informatie."
Microsoft SQL Server 2005 Standard Edition,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Standard Edition for Itanium Based Systems,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Standard X64 Edition,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2005 Workgroup Edition,14-1-2006,Niet van toepassing,Niet van toepassing,10-7-2007,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Zie deze koppeling voor informatie over ondersteuning voor SQL Server 2005: <a href=""www.microsoft.com/sqlserverupgrade"">www.microsoft.com/sqlserverupgrade</a>"
Microsoft SQL Server 2008 Developer,6-11-2008,8-7-2014,9-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Enterprise,7-11-2008,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Express,11-11-2008,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Express with Advanced Services,22-11-2008,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Datacenter,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Developer,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Enterprise,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Express,20-7-2010,8-7-2014,8-7-2014,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Express with Advanced Services,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 for Embedded Systems,20-7-2010,8-7-2014,8-7-2014,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Parallel Data Warehouse,9-11-2010,8-7-2014,9-7-2019,,Hardware products will receive 5 years of support following Microsoft’s end of sales date for the Major Product version. Minor Product releases follow the Support Lifecycle of their respective Major Product versions.
Microsoft SQL Server 2008 R2 Service Pack 1,12-7-2011,Niet van toepassing,Niet van toepassing,8-10-2013,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Service Pack 2,26-7-2012,Niet van toepassing,Niet van toepassing,13-10-2015,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Alleen voor IA64 wordt SP2 ondersteund tot 9 juli 2019. Zie voor meer informatie de SQL Release Services-blog op <a href=""http://blogs.msdn.com/b/sqlreleaseservices/archive/2014/09/26/sql-server-2008-r2-service-pack-3-has-released.aspx"">http://blogs.msdn.com/b/sqlreleaseservices/archive/2014/09/26/sql-server-2008-r2-service-pack-3-has-released.aspx</a>"
Microsoft SQL Server 2008 R2 Service Pack 3,Opmerking controleren,8-7-2014,9-7-2019,,"De begindatum van de levenscyclus voor SQL Server 2008 R2 SP3 is 26-9-2014. <br>
Ondersteuning eindigt 12 maanden na de uitgifte van het volgende servicepack of, als deze datum eerder wordt bereikt, aan het eind van de ondersteuningslevensduur voor het product. Raadpleeg het <a href=""https://support.microsoft.com/help/17138"">Servicepackbeleid</a> voor meer informatie."
Microsoft SQL Server 2008 R2 Standard,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Standard Edition for Small Business,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Web,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 R2 Workgroup,20-7-2010,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Service Pack 1,31-3-2009,Niet van toepassing,Niet van toepassing,11-10-2011,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Service Pack 2,24-9-2010,Niet van toepassing,Niet van toepassing,9-10-2012,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Service Pack 3,6-10-2011,Niet van toepassing,Niet van toepassing,13-10-2015,"Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning. Alleen voor IA64 wordt SP3 ondersteund tot 9 juli 2019. Zie voor meer informatie de SQL Release Services-blog op <a href=""http://blogs.msdn.com/b/sqlreleaseservices/archive/2014/09/30/sql-server-2008-service-pack-4-has-released.aspx"">http://blogs.msdn.com/b/sqlreleaseservices/archive/2014/09/30/sql-server-2008-service-pack-4-has-released.aspx</a>"
Microsoft SQL Server 2008 Service Pack 4,7-7-2014,8-7-2014,9-7-2019,,"Ondersteuning eindigt 12 maanden na de uitgifte van het volgende servicepack of, als deze datum eerder wordt bereikt, aan het eind van de ondersteuningslevensduur voor het product. Raadpleeg het <a href=""https://support.microsoft.com/help/17138"">Servicepackbeleid</a> voor meer informatie."
Microsoft SQL Server 2008 Standard,6-11-2008,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Standard Edition for Small Business,6-11-2008,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Web,6-11-2008,8-7-2014,8-7-2014,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
Microsoft SQL Server 2008 Workgroup,6-11-2008,8-7-2014,8-7-2019,,Raadpleeg de nieuwste Service Pack-listing voor dit product voor meer informatie over de einddatums voor ondersteuning.
